0.0,Warte auf den nächsten Zug  an Gleis 1 Richtung Wiesbaden im Bereich B.
1.0,Finde den Ausgang  zur Busstation am Rathaus.
2.0,Finde den Ausgang zum Rathaus.
3.0,Finde ein Taxi.
4.0,Warte auf den nächsten Zug Richtung Frankfurt im Bereich B.
5.0,Begib dich zum Wartebereich. Vor dem DB-Shop in der B-Ebene.
6.0,Warte auf den nächsten Zug an Gleis 2 im Bereich A.
7.0,Warte auf den nächsten Zug in Richtung Frankfurt im Bereich C.
8.0,Gehe zur Busstation am Wilhelmsplatz.
9.0,Warte auf den nächsten Zug an Gleis 2 im Bereich B.
